id,name,manufacturer,manufacturer_type,active_ingredient,cost,medicine_type,quantity
252825,Zidfev 250mg Oral Suspension,Zidwell Healthcare,Branded,Paracetamol (250mg),36.0,suspension,60
87895,Feveryl Syrup,Mercury Laboratories Ltd,Branded,Paracetamol (250mg),36.09,syrup,60
214247,Sarcetamol 250 Oral Suspension,Vsaar Pharma Pvt Ltd,Branded,Paracetamol (250mg),36.55,suspension,60
172288,Orangemol 250mg Syrup,Panacea Biotec Ltd,Branded,Paracetamol (250mg),36.86,syrup,60
80407,Ellpara Oral Suspension,Ellanjey Lifesciences,Branded,Paracetamol (250mg),36.9,suspension,60
96835,Glamol 250mg Oral Suspension,Gladcare Formulations Pvt Ltd,Branded,Paracetamol (250mg),36.9,suspension,60
139990,Mol Oral Suspension,Farlex Pharmaceuticals Pvt Ltd,Branded,Paracetamol (250mg),36.9,suspension,60
172216,Orvipar 250mg Oral Suspension,Orville Biotek,Branded,Paracetamol (250mg),36.9,suspension,60
176949,Paravib Suspension,Vibcare Pharma Pvt Ltd,Branded,Paracetamol (250mg),36.9,suspension,60
245740,Xaio 250mg Oral Suspension,Indo-Asia Pharma Care,Branded,Paracetamol (250mg),36.9,suspension,60
91863,Femol DS 250mg Syrup,Femgrace Formulations,Branded,Paracetamol (250mg),36.92,syrup,60
240554,Vatican's Trick 250 Oral Suspension,Vatican Life Sciences Pvt Ltd,Branded,Paracetamol (250mg),36.93,suspension,60
180129,Piemol 250mg Syrup,Pearlshine Lifescience Pvt Ltd,Branded,Paracetamol (250mg),36.96,syrup,60
196949,Repara 250mg Oral Suspension,Torainse Life Care Pvt Ltd,Branded,Paracetamol (250mg),36.96,suspension,60
25067,Anupar 250mg Oral Suspension,Horean Healthcare Private Limited,Branded,Paracetamol (250mg),37.0,suspension,60
92707,Fevtus 250mg Oral Suspension,Spencure Biotech Pvt. Ltd.,Branded,Paracetamol (250mg),37.0,suspension,60
93066,Femol 250mg Syrup,Ambreyo Lifesciences,Branded,Paracetamol (250mg),37.0,syrup,60
102677,Godimol 250mg Oral Suspension,Godase Healthcare,Branded,Paracetamol (250mg),37.0,suspension,60
103067,Gatmol 250mg Oral Suspension,Gatlen Biotech,Branded,Paracetamol (250mg),37.0,suspension,60
146494,Molphyn 250 Oral Suspension,Hummed Healthcare,Branded,Paracetamol (250mg),37.0,suspension,60
147526,Molter 250mg Oral Suspension,Laxter Pharmaceutical Pvt Ltd,Branded,Paracetamol (250mg),37.0,suspension,60
148042,Molra 250mg Oral Suspension,Otik Biotec,Branded,Paracetamol (250mg),37.0,suspension,60
